Symbol,Name,Address,Sector,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level,Group
MDLZ,Mondelez International Inc A,"905 West Fulton Market
Suite 200
Chicago, IL 60607
United States
847 943 4000
https://www.mondelezinternational.com",Consumer Defensive,Confectioners,91000,"Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products in the Latin America, North America, Asia, the Middle East, Africa, and Europe. It provides biscuits and baked snacks, including cookies, crackers, salted snacks, snack bars, and cakes and pastries; chocolates; and gums and candies, as well as various cheese and grocery, and powdered beverage products. The company's brand portfolio includes Oreo, Ritz, LU, CLIF Bar, and Tate's Bake Shop biscuits and baked snacks, as well as Cadbury Dairy Milk, Milka, and Toblerone chocolate. It serves supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, gasoline stations, drug stores, value stores, and other retail food outlets through direct store delivery, company-owned and satellite warehouses, third party distributors, and other facilities, as well as through independent sales offices and agents. The company was formerly known as Kraft Foods Inc. and changed its name to Mondelez International, Inc. in October 2012. Mondelez International, Inc. was incorporated in 2000 and is headquartered in Chicago, Illinois.",24.0,9.5,5.2,9.1,Significant,3.0,39th percentile,Medium,Traditional
MDT,Medtronic Plc,"20 On Hatch
Lower Hatch Street
Dublin 2
Ireland
353 1 438 1700
https://www.medtronic.com",Healthcare,Medical Devices,95000,"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients worldwide. Its Cardiovascular Portfolio segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; cardiac ablation products; insertable cardiac monitor systems; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves, surgical valve replacement and repair products, endovascular stent grafts and accessories, and transcatheter pulmonary valves; and percutaneous coronary intervention products, percutaneous angioplasty balloons, and products. The company's Medical Surgical Portfolio segment offers surgical stapling devices, vessel sealing instruments, wound closure, electrosurgery products, surgical artificial intelligence and robotic-assisted surgery products, hernia mechanical devices, mesh implants, gynecology and lung products, and various therapies to treat diseases, as well as products in the fields of minimally invasive gastrointestinal and hepatologic diagnostics and therapies, patient monitoring, airway management and ventilation therapies, and renal disease. Its Neuroscience Portfolio segment offers products for spinal surgeons; neurosurgeons; neurologists; pain management specialists; anesthesiologists; orthopedic surgeons; urologists; urogynecologists; interventional radiologists; ear, nose, and throat specialists; and systems that incorporate energy surgical instruments. It also provides image-guided surgery and intra-operative imaging systems and robotic guidance systems used in robot assisted spine procedures; and therapies for vasculature in and around the brain. The company's Diabetes Operating Unit segment offers insulin pumps and consumables, continuous glucose monitoring systems, smart insulin pen systems, and consumables and supplies. The company was founded in 1949 and is headquartered in Dublin, Ireland.",23.0,2.4,7.6,12.6,Significant,3.0,35th percentile,Medium,Traditional
MET,Metlife Inc,"200 Park Avenue
New York, NY 10166-0188
United States
212 578 9500
https://www.metlife.com",Financial Services,Insurance—Life,45000,"MetLife, Inc., a financial services company, provides insurance, annuities, employee benefits, and asset management services worldwide. It operates through five segments: U.S.; Asia; Latin America; Europe, the Middle East and Africa; and MetLife Holdings. The company offers life, dental, group short-and long-term disability, individual disability, pet insurance, accidental death and dismemberment, vision, and accident and health coverages, as well as prepaid legal plans; administrative services-only arrangements to employers; and general and separate account, and synthetic guaranteed interest contracts, as well as private floating rate funding agreements. It also provides pension risk transfers, institutional income annuities, structured settlements, and capital markets investment products; and other products and services, such as life insurance products and funding agreements for funding postretirement benefits, as well as company, bank, or trust-owned life insurance used to finance nonqualified benefit programs for executives. In addition, it provides fixed, indexed-linked, and variable annuities; pension products; regular savings products; whole and term life, endowments, universal and variable life, and group life products; longevity reinsurance solutions; credit insurance products; and protection against long-term health care services. MetLife, Inc. was founded in 1863 and is headquartered in New York, New York.",15.0,0.7,9.4,4.8,Moderate,2.0,10th percentile,Low,ESG
META,Meta Platforms Inc Class A,"1601 Willow Road
Menlo Park, CA 94025
United States
650 543 4800
https://investor.fb.com",Communication Services,Internet Content & Information,71469,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and wearables worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California.",33.0,1.0,10.5,21.0,High,4.0,72nd percentile,High,Traditional
MGM,Mgm Resorts International,"3600 Las Vegas Boulevard South
Las Vegas, NV 89109
United States
702 693 7120
https://www.mgmresorts.com",Consumer Cyclical,Resorts & Casinos,57000,"MGM Resorts International, through its subsidiaries, owns and operates casino, hotel, and entertainment resorts in the United States and Macau. The company operates through three segments: Las Vegas Strip Resorts, Regional Operations, and MGM China. Its casino resorts offer gaming, hotel, convention, dining, entertainment, retail, and other resort amenities. The company's casino operations include slots and table games, as well as online sports betting and iGaming through BetMGM. Its customers include premium gaming customers; leisure and wholesale travel customers; business travelers; and group customers, including conventions, trade associations, and small meetings. The company was formerly known as MGM MIRAGE and changed its name to MGM Resorts International in June 2010. MGM Resorts International was incorporated in 1986 and is based in Las Vegas, Nevada.",25.0,2.0,10.5,13.0,Moderate,2.0,47th percentile,Medium,Traditional
MHK,Mohawk Industries Inc,"160 S. Industrial Blvd.
Calhoun, GA 30701
United States
706 629 7721
https://www.mohawkind.com",Consumer Cyclical,"Furnishings, Fixtures & Appliances",40900,"Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products for residential and commercial remodeling, and new construction channels in the United States, Europe, Russia, and internationally. It operates through three segments: Global Ceramic, Flooring North America (Flooring NA), and Flooring Rest of the World (Flooring ROW). The Global Ceramic segment provides a range of ceramic tile, porcelain tile, natural stone, porcelain slab, quartz countertop, and other products, as well as installation materials under the American Olean, Daltile, Eliane, EmilGroup, KAI, Kerama Marazzi, Marazzi, and Ragno brands. The Flooring NA segment offers floor covering products in various colors, textures, and patterns, including broadloom carpets, carpet tiles, rugs and mats, carpet pads, laminate, medium-density fiberboards, wood flooring, luxury vinyl tiles (LVT), and sheet vinyl products through floor covering retailers, distributors, home centers, mass merchants, department stores, e-commerce retailers, shop at home, buying groups, builders, commercial contractors, and commercial end users. This segment markets and distributes its flooring products under the Aladdin Commercial, Durkan, IVC, Karastan, Mohawk, Mohawk Group, Mohawk Home, Pergo, Portico, and Quick-Step brands. The Flooring ROW segment provides laminate, LVT and sheet vinyl, wood flooring, broadloom carpet, and carpet tile collections; and roofing panels, insulation boards, mezzanine flooring products, and chipboards under the Feltex, GH Commercial, Godfrey Hirst, Hycraft, IVC Commercial, IVC Home, Leoline, Moduleo, Pergo, Quick-Step, and Unilin brands. This segment also licenses its intellectual property to flooring manufacturers. The company was incorporated in 1988 and is headquartered in Calhoun, Georgia.",14.0,6.0,4.0,4.0,Moderate,2.0,9th percentile,Negligible,ESG
MKC,Mccormick & Co Non Vtg Shrs,"24 Schilling Road
Suite 1
Hunt Valley, MD 21031
United States
410 771 7301
https://www.mccormickcorporation.com",Consumer Defensive,Packaged Foods,14200,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavorful products to the food industry. It operates in two segments, Consumer and Flavor Solutions. The Consumer segment offers spices, herbs, and seasonings, as well as condiments and sauces, and desserts. This segment markets its products under the McCormick, French's, Frank's RedHot, Lawry's, Cholula Hot Sauce, Gourmet Garden, Club House, and OLD BAY brands in the Americas; Ducros, Schwartz, Kamis, and LA Drogheria, and Vahiné brands in Europe, the Middle East, and Africa; McCormick and DaQiao brands in China; and McCormick, Aeroplane, and Gourmet Garden brands in Australia, as well as markets regional and ethnic brands, such as Zatarain's, Stubb's, Thai Kitchen, and Simply Asia. It also supplies its products under the private labels. This segment serves retailers comprising grocery, mass merchandise, warehouse clubs, discount and drug stores, and e-commerce retailers directly and indirectly through distributors and wholesale foodservice suppliers. The Flavor Solutions segment offers seasoning blends, spices and herbs, condiments, coating systems, and compound flavors to multinational food manufacturers and foodservice customers. It serves foodservice customers directly and indirectly through distributors. McCormick & Company, Incorporated was founded in 1889 and is headquartered in Hunt Valley, Maryland.",27.0,10.1,5.2,11.3,Moderate,2.0,52nd percentile,Medium,Traditional
MLM,Martin Marietta Materials,"4123 Parklake Avenue
Raleigh, NC 27612
United States
919 781 4550
https://www.martinmarietta.com",Basic Materials,Building Materials,9400,"Martin Marietta Materials, Inc., a natural resource-based building materials company, supplies aggregates and heavy-side building materials to the construction industry in the United States and internationally. It offers crushed stone, sand, and gravel products; ready mixed concrete and asphalt; paving products and services; and Portland and specialty cement for use in the infrastructure projects, and nonresidential and residential construction markets, as well as in the railroad, agricultural, utility, and environmental industries. The company also produces magnesia-based chemicals products; dolomitic lime primarily to customers for steel production and soil stabilization; and cement treated materials. Its chemical products are used in flame retardants, wastewater treatment, pulp and paper production, and other environmental applications. Martin Marietta Materials, Inc. was founded in 1939 and is headquartered in Raleigh, North Carolina.",32.0,19.0,9.0,5.0,Moderate,2.0,71st percentile,Severe,Traditional
MMC,Marsh & Mclennan Cos,"1166 Avenue of the Americas
New York, NY 10036-2774
United States
212 345 5000
https://www.mmc.com",Financial Services,Insurance Brokers,85000,"Marsh & McLennan Companies, Inc., a professional services company, provides advice and solutions to clients in the areas of risk, strategy, and people worldwide. It operates in two segments, Risk and Insurance Services, and Consulting. The Risk and Insurance Services segment offers risk management services, such as risk advice, risk transfer, and risk control and mitigation solutions, as well as insurance and reinsurance broking, strategic advisory services, and analytics solutions; and insurance program management services. This segment serves businesses, public entities, insurance companies, associations, professional services organizations, and private clients. The Consulting segment provides health, wealth, and career consulting services and products; and specialized management, strategic, economic, and brand consulting services. Marsh & McLennan Companies, Inc. was founded in 1871 and is headquartered in New York, New York.",19.0,0.1,11.5,7.9,Moderate,2.0,24th percentile,Low,ESG
MMM,3m Co W/d,"3M Center
Saint Paul, MN 55144-1000
United States
651 733 1110
https://www.3m.com",Industrials,Conglomerates,92000,"3M Company provides diversified technology services in the United States and internationally. The company operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports, and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. 3M Company was founded in 1902 and is headquartered in St. Paul, Minnesota.",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High,Traditional
MO,Altria Group Inc,"6601 West Broad Street
Richmond, VA 23230
United States
804 274 2200
https://www.altria.com",Consumer Defensive,Tobacco,6300,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company provides cigarettes primarily under the Marlboro brand; cigars and pipe tobacco principally under the Black & Mild brand; moist smokeless tobacco products and snus products under the Copenhagen, Skoal, Red Seal, and Husky brands; and on! oral nicotine pouches. It sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. The company was founded in 1822 and is headquartered in Richmond, Virginia.",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium,Traditional
MOS,Mosaic Co,"101 East Kennedy Boulevard
Suite 2500
Tampa, FL 33602
United States
800 918 8270
https://www.mosaicco.com",Basic Materials,Agricultural Inputs,13570,"The Mosaic Company, through its subsidiaries, produces and markets concentrated phosphate and potash crop nutrients in North America and internationally. The company operates through three segments: Phosphates, Potash, and Mosaic Fertilizantes. It owns and operates mines, which produce concentrated phosphate crop nutrients, such as diammonium phosphate, monoammonium phosphate, and ammoniated phosphate products; and phosphate-based animal feed ingredients primarily under the Biofos and Nexfos brand names, as well as produces a double sulfate of potash magnesia product under K-Mag brand name. The company also produces and sells potash for use in the manufacturing of mixed crop nutrients and animal feed ingredients, and for industrial use; and for use in the de-icing and as a water softener regenerant. In addition, it provides nitrogen-based crop nutrients, animal feed ingredients, and other ancillary services; and purchases and sells phosphates, potash, and nitrogen products. The company sells its products to wholesale distributors, retail chains, farmers, cooperatives, independent retailers, and national accounts. The Mosaic Company was incorporated in 2004 and is headquartered in Tampa, Florida.",34.0,14.4,8.7,11.1,Moderate,2.0,78th percentile,High,Traditional
MPC,Marathon Petroleum Corp,"539 South Main Street
Findlay, OH 45840-3229
United States
419 422 2121
https://www.marathonpetroleum.com",Energy,Oil & Gas Refining & Marketing,17800,"Marathon Petroleum Corporation, together with its subsidiaries, operates as an integrated downstream energy company primarily in the United States. It operates in two segments, Refining & Marketing, and Midstream. The Refining & Marketing segment refines crude oil and other feedstocks at its refineries in the Gulf Coast, Mid-Continent, and West Coast regions of the United States; and purchases refined products and ethanol for resale and distributes refined products, including renewable diesel, through transportation, storage, distribution, and marketing services. Its refined products include transportation fuels, such as reformulated gasolines and blend-grade gasolines; heavy fuel oil; and asphalt. This segment also manufactures propane, petrochemicals, and natural gas liquids. It sells refined products to wholesale marketing customers in the United States and internationally, buyers on the spot market, and independent entrepreneurs who operate primarily Marathon branded outlets, as well as through long-term fuel supply contracts to direct dealer locations primarily under the ARCO brand. The Midstream segment transports, stores, distributes, and markets crude oil and refined products through refining logistics assets, pipelines, terminals, towboats, and barges; gathers, processes, and transports natural gas; and gathers, transports, fractionates, stores, and markets natural gas liquids. The company was founded in 1887 and is headquartered in Findlay, Ohio.",29.0,15.9,5.8,7.0,Significant,3.0,58th percentile,Medium,Traditional
MRK,Merck & Co. Inc.,"126 East Lincoln Avenue
Rahway, NJ 07065
United States
908 740 4000
https://www.merck.com",Healthcare,Drug Manufacturers—General,67000,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Pharmaceutical and Animal Health. The Pharmaceutical segment offers human health pharmaceutical products in the areas of oncology, hospital acute care, immunology, neuroscience, virology, cardiovascular, and diabetes, as well as vaccine products, such as preventive pediatric, adolescent, and adult vaccines. The Animal Health segment discovers, develops, manufactures, and markets veterinary pharmaceuticals, vaccines, and health management solutions and services, as well as digitally connected identification, traceability, and monitoring products. The company serves drug wholesalers and retailers, hospitals, and government agencies; managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions; and physicians and physician distributors, veterinarians, and animal producers. It has collaborations with AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; Ridgeback Biotherapeutics LP; and Gilead Sciences, Inc. to jointly develop and commercialize long-acting treatments in HIV. Merck & Co., Inc. was founded in 1891 and is headquartered in Rahway, New Jersey.",22.0,0.8,9.6,11.5,Significant,3.0,32nd percentile,Medium,Traditional
MRO,Marathon Oil Corp,"990 Town and Country Boulevard
Houston, TX 77024-2217
United States
713 629 6600
https://www.marathonoil.com",Energy,Oil & Gas E&P,1570,"Marathon Oil Corporation operates as an independent exploration and production company in the United States and internationally. The company engages in the exploration, production, and marketing of crude oil and condensate, natural gas liquids, and natural gas; and the production and marketing of products manufactured from natural gas, such as liquefied natural gas and methanol. It also owns and operates central gathering and treating facilities; and the Sugarloaf gathering system, a 42-mile natural gas pipeline through Karnes and Atascosa Counties. The company was formerly known as USX Corporation and changed its name to Marathon Oil Corporation in December 2001. The company was founded in 1886 and is headquartered in Houston, Texas.",42.0,23.9,8.0,10.1,Moderate,2.0,92nd percentile,Severe,Traditional
MS,Morgan Stanley,"1585 Broadway
New York, NY 10036
United States
212 761 4000
https://www.morganstanley.com",Financial Services,Capital Markets,82000,"Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. It operates through Institutional Securities, Wealth Management, and Investment Management segments. The Institutional Securities segment offers capital raising and financial advisory services, including services related to the underwriting of debt, equity, and other securities, as well as advice on mergers and acquisitions, restructurings, real estate, and project finance. This segment also provides equity and fixed income products comprising sales, financing, prime brokerage, and market-making services; foreign exchange and commodities; corporate and commercial real estate loans, commercial mortgage and secured lending facilities, and financing for sales and trading customers, and asset-backed and mortgage lending; and wealth management services, investment, and research services. The Wealth Management segment offers financial advisor-led brokerage, custody, administrative, and investment advisory services; self-directed brokerage services; financial and wealth planning services; workplace services, including stock plan administration; annuity and insurance products; securities-based lending, residential real estate loans, and other lending products; banking; and retirement plan services to individual investors and small to medium-sized businesses and institutions. The Investment Management segment provides equity, fixed income, alternatives and solutions, and liquidity and overlay services to benefit/defined contribution plans, foundations, endowments, government entities, sovereign wealth funds, insurance companies, third-party fund sponsors, corporations, and individuals through institutional and intermediary channels. Morgan Stanley was founded in 1924 and is headquartered in New York, New York.",22.0,0.7,9.7,11.8,Significant,3.0,33rd percentile,Medium,Traditional
MSCI,Msci Inc,"7 World Trade Center
49th Floor 250 Greenwich Street
New York, NY 10007
United States
212 804 3900
https://www.msci.com",Financial Services,Financial Data & Stock Exchanges,4980,"MSCI Inc., together with its subsidiaries, provides investment decision support tools for the clients to manage their investment processes worldwide. It operates through four segments: Index, Analytics, ESG and Climate, and All Other  Private Assets. The Index segment provides indexes for use in various areas of the investment process, including indexed product creation, such as ETFs, mutual funds, annuities, futures, options, structured products, over-the-counter derivatives; performance benchmarking; portfolio construction and rebalancing; and asset allocation, as well as licenses GICS and GICS Direct. The Analytics segment offers risk management, performance attribution and portfolio management content, application, and service that provides an integrated view of risk and return, and an analysis of market, credit, liquidity, and counterparty risk across asset classes; managed services, including consolidation of client portfolio data from various sources, review and reconciliation of input data and results, and customized reporting; and HedgePlatform to measure, evaluate, and monitor the risk of hedge fund investments. The ESG and Climate segment provides products and services that help institutional investors understand how ESG factors impact the long-term risk and return of their portfolio and individual security-level investments; and data, ratings, research, and tools to help investors navigate increasing regulation. The All Other  Private Assets segment includes real estate market and transaction data, benchmarks, return-analytics, climate assessments and market insights for funds, investors, and managers; business intelligence to real estate owners, managers, developers, and brokers; and offers investment decision support tools for private capital. It serves asset owners and managers, financial intermediaries, wealth managers, real estate professionals, and corporates. MSCI Inc. was incorporated in 1998 and is headquartered in New York, New York.",16.0,2.0,8.0,7.0,,0.0,13th percentile,Negligible,ESG
MSFT,Microsoft Corp,"One Microsoft Way
Redmond, WA 98052-6399
United States
425 882 8080
https://www.microsoft.com",Technology,Software—Infrastructure,221000,"Microsoft Corporation develops and supports software, services, devices and solutions worldwide. The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot; and office consumer services, such as Microsoft 365 consumer subscriptions, Office licensed on-premises, and other office services. This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365, a set of intelligent, cloud-based applications across ERP, CRM, power apps, and power automate; and on-premises ERP and CRM applications. The Intelligent Cloud segment provides server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services. The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of the Windows operating system; Windows commercial comprising volume licensing of the Windows operating system, windows cloud services, and other Windows commercial offerings; patent licensing; and windows Internet of Things; and devices, such as surface, HoloLens, and PC accessories. Additionally, this segment provides gaming, which includes Xbox hardware and content, and first- and third-party content; Xbox game pass and other subscriptions, cloud gaming, advertising, third-party disc royalties, and other cloud services; and search and news advertising, which includes Bing, Microsoft News and Edge, and third-party affiliates. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington.",15.0,1.5,5.3,8.4,Significant,3.0,11th percentile,Low,ESG
MSI,Motorola Solutions Inc,"500 West Monroe Street
Suite 4400
Chicago, IL 60661
United States
847 576 5000
https://www.motorolasolutions.com",Technology,Communication Equipment,20000,"Motorola Solutions, Inc. provides public safety and enterprise security solutions in the United States, the United Kingdom, Canada, and internationally. The company operates in two segments, Products and Systems Integration, and Software and Services. The Products and Systems Integration segment offers a portfolio of infrastructure, devices, accessories, and video security devices and infrastructure, as well as the implementation and integration of systems, devices, software, and applications for government, public safety, and commercial customers who operate private communications networks and video security solutions, as well as manage a mobile workforce. Its land mobile radio communications, and video security and access control devices include two-way portable and vehicle-mounted radios, fixed and mobile video cameras, and accessories; radio network core and central processing software, base stations, consoles, and repeaters; and video analytics, network video management hardware and software, and access control solutions. The Software and Services segment provides public safety and enterprise command center, unified communications applications, mobile video equipment, and video software solutions; repair, technical support, and maintenance services; and monitoring, software updates, and cybersecurity services. The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in January 2011. Motorola Solutions, Inc. was founded in 1928 and is headquartered in Chicago, Illinois.",14.0,2.2,5.4,6.7,Significant,3.0,9th percentile,Low,ESG
MTD,Mettler Toledo International,"1900 Polaris Parkway
Columbus, OH 43240
United States
614 438 4511
https://www.mt.com",Healthcare,Diagnostics & Research,16400,"Mettler-Toledo International Inc. manufactures and supplies precision instruments and services in the United States and internationally. It operates through five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations, and Other. The company's laboratory instruments include laboratory balances, liquid pipetting solutions, automated laboratory reactors, titrators, pH meters, process analytics sensors and analyzer technologies, physical value analyzers, density and refractometry, thermal analysis systems, and other analytical instruments; and LabX, a laboratory software platform to manage and analyze data generated from its instruments. Its industrial instruments comprise industrial weighing instruments and related terminals, automatic dimensional measurement and data capture solutions, vehicle scale systems, industrial software, metal detection equipment, x-ray systems, check weighing equipment, camera-based imaging equipment, track-and-trace solutions, and product inspection systems. The company's retail weighing solutions consist of networked scales and software, stand-alone scales, and automated packaging and labelling solutions for handling fresh goods. It serves the life science industry, independent research organizations, and testing labs; food and beverage manufacturers; food retailers; chemical, specialty chemical, and cosmetics companies; food retailers; transportation and logistics, metals, and electronics industries; and the academic community through its direct sales force and indirect distribution channels. The company was incorporated in 1991 and is based in Columbus, Ohio.",13.0,1.0,5.0,7.0,,0.0,7th percentile,Negligible,ESG
MU,Micron Technology Inc,"8000 South Federal Way
Boise, ID 83716-9632
United States
208 368 4000
https://www.micron.com",Technology,Semiconductors,48000,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products worldwide. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Embedded Business Unit, and Storage Business Unit. It provides memory and storage technologies comprises DRAM products, which are dynamic random access memory semiconductor devices with low latency that provide high-speed data retrieval; NAND products that are non-volatile and re-writeable semiconductor storage devices; and NOR memory products, which are non-volatile re-writable semiconductor memory devices that provide fast read speeds under the Micron and Crucial brands, as well as through private labels. The company offers memory products for the cloud server, enterprise, client, graphics, networking, industrial, and automotive markets, as well as for smartphone and other mobile-device markets; SSDs and component-level solutions for the enterprise and cloud, client, and consumer storage markets; discrete storage products in component and wafers; and memory and storage products for the automotive, industrial, and consumer markets. It markets its products through its direct sales force, independent sales representatives, distributors, and retailers; and web-based customer direct sales channel, as well as through channel and distribution partners. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho.",17.0,6.6,5.8,5.1,Moderate,2.0,17th percentile,Low,ESG
NDAQ,Nasdaq Inc,"151 West 42nd Street
New York, NY 10036
United States
212 401 8700
https://www.nasdaq.com",Financial Services,Financial Data & Stock Exchanges,6565,"Nasdaq, Inc. operates as a technology company that serves capital markets and other industries worldwide. It operates in three segments: Market Platforms, Capital Access Platforms, and Anti-Financial Crime. The Market Platforms segment trading services, including equity derivative trading and clearing, cash equity trading, fixed income and commodities trading and clearing, and trade management service businesses. This segment operates various exchanges and other marketplace facilities across various asset classes, which include derivatives, commodities, cash equity, debt, structured products, and exchange traded products; and provides broker, clearing, settlement, and central depository services. This segment also handles assets, such as cash equities, equity derivatives, currencies, interest-bearing securities, commodities, energy products, and digital currencies. The Capital Access Platforms segment sells and distributes historical and real-time market data; develops and licenses Nasdaq-branded indexes and financial products; operates listing platforms; investment insights and workflow solutions; and offers investor relations intelligence, ESG solutions, and governance solutions. The Anti-Financial Crime segment includes anti financial crime management solutions, which offers Nasdaq Trade Surveillance, a SaaS solution for brokers and other market participants to assist them in complying with market rules, regulations, and internal market surveillance policies; Nasdaq Market Surveillance, a market surveillance solution for markets and regulators; and Verafin, a SaaS technology provider of anti-financial crime management solutions. The company was formerly known as The NASDAQ OMX Group, Inc. and changed its name to Nasdaq, Inc. in September 2015. Nasdaq, Inc. was founded in 1971 and is headquartered in New York, New York.",12.0,1.8,5.3,4.6,Low,1.0,4th percentile,Low,ESG
NDSN,Nordson Corp,"28601 Clemens Road
Westlake, OH 44145
United States
440 892 1580
https://www.nordson.com",Industrials,Specialty Industrial Machinery,7331,"Nordson Corporation engineers, manufactures, and markets products and systems to dispense, apply, and control adhesives, coatings, polymers, sealants, biomaterials, and other fluids worldwide. It operates through three segments: Industrial Precision Solutions (IPS); Medical and Fluid Solutions; and Advanced Technology Solutions (ATS). The IPS segment provides dispensing, coating, and laminating systems for adhesives, lotions, liquids, and fibers to disposable products and roll goods; automated adhesive dispensing systems used in packaged goods industries; components and systems used in the thermoplastic and biopolymer melt stream; and product assembly systems for use in paper and paperboard converting applications, and manufacturing roll goods, as well as for the assembly of plastic, metal, and wood products. It also offers automated and manual dispensing products and systems for cold materials, container coating, liquid finishing, and powder coating, as well as ultraviolet equipment used primarily in curing and drying operations. The Medical and Fluid Solutions segment offers medical devices, including cannulas, catheters, and medical balloons; single-use plastic components; precision manual and semi-automated dispensers; minimally invasive interventional delivery devices; and plastic molded syringes, cartridges, tips, and fluid connection components. The ATS segment provides automated dispensing systems for the attachment, protection, and coating of fluids, as well as related gas plasma treatment systems for cleaning and conditioning surfaces; and bond testing and automated optical, acoustic microscopy, and x-ray inspection systems for use in semiconductor and printed circuit board industries. The company markets its products through direct sales force, as well as distributors and sales representatives. Nordson Corporation was founded in 1909 and is headquartered in Westlake, Ohio.",27.0,9.3,5.6,11.8,Low,1.0,52nd percentile,Medium,Traditional
NEE,Nextera Energy Inc,"700 Universe Boulevard
Juno Beach, FL 33408
United States
561 694 4000
https://www.nexteraenergy.com",Utilities,Utilities—Regulated Electric,15300,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, coal, and natural gas facilities. It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage projects, and electric transmission facilities; sells energy commodities; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. As of December 31, 2022, the company had approximately 32,100 megawatts of net generating capacity; approximately 88,000 circuit miles of transmission and distribution lines; and 871 substations. It serves approximately 12 million people through approximately 5.8 million customer accounts in the east and lower west coasts of Florida. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida.",28.0,14.1,5.8,7.6,Moderate,2.0,54th percentile,Medium,Traditional
